match_id,radiant_win
0,True
1,False
2,False
3,False
4,True
5,True
6,True
7,True
8,False
9,False
10,True
11,False
12,False
13,True
14,True
15,False
16,False
17,True
18,False
19,True
20,True
21,True
22,True
23,True
24,False
25,True
26,True
27,False
28,True
29,False
30,True
31,False
32,True
33,False
34,True
35,False
36,True
37,True
38,False
39,False
40,False
41,True
42,True
43,False
44,True
45,True
46,False
47,True
48,True
49,True
50,False
51,False
52,False
53,False
54,True
55,True
56,True
57,False
58,False
59,False
60,False
61,True
62,True
63,False
64,True
65,True
66,True
67,True
68,True
69,True
70,True
71,False
72,True
73,False
74,True
75,False
76,True
77,True
78,False
79,True
80,True
81,True
82,False
83,False
84,True
85,True
86,True
87,True
88,True
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,True
97,True
98,False
99,True
100,False
101,False
102,True
103,True
104,False
105,True
106,True
107,False
108,False
109,True
110,False
111,False
112,True
113,False
114,True
115,True
116,False
117,True
118,False
119,True
120,False
121,False
122,False
123,False
124,True
125,False
126,False
127,False
128,False
129,False
130,True
131,True
132,False
133,False
134,True
135,False
136,True
137,True
138,False
139,True
140,True
141,False
142,False
143,False
144,False
145,False
146,True
147,False
148,True
149,True
150,True
151,False
152,False
153,True
154,True
155,True
156,False
157,False
158,False
159,True
160,True
161,False
162,True
163,False
164,False
165,False
166,False
167,False
168,False
169,True
170,True
171,True
172,True
173,True
174,True
175,False
176,False
177,True
178,False
179,True
180,False
181,True
182,True
183,True
184,False
185,False
186,False
187,False
188,True
189,False
190,False
191,True
192,False
193,False
194,False
195,False
196,True
197,False
198,True
199,True
200,False
201,False
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,False
210,False
211,False
212,False
213,True
214,True
215,True
216,False
217,True
218,True
219,True
220,False
221,False
222,True
223,False
224,True
225,False
226,True
227,True
228,True
229,True
230,True
231,True
232,False
233,True
234,True
235,False
236,True
237,False
238,False
239,False
240,True
241,True
242,True
243,True
244,True
245,False
246,True
247,True
248,True
249,True
250,False
251,True
252,False
253,True
254,True
255,False
256,True
257,True
258,False
259,True
260,False
261,False
262,True
263,True
264,True
265,True
266,True
267,True
268,True
269,False
270,False
271,True
272,True
273,True
274,True
275,True
276,False
277,False
278,True
279,True
280,False
281,True
282,False
283,True
284,False
285,False
286,False
287,True
288,True
289,True
290,True
291,False
292,False
293,True
294,True
295,False
296,False
297,True
298,False
299,False
300,True
301,True
302,True
303,True
304,False
305,False
306,True
307,True
308,True
309,False
310,True
311,True
312,True
313,True
314,False
315,False
316,True
317,False
318,False
319,True
320,True
321,False
322,False
323,True
324,False
325,True
326,True
327,False
328,False
329,True
330,False
331,True
332,True
333,False
334,True
335,True
336,False
337,True
338,False
339,False
340,True
341,False
342,True
343,True
344,True
345,False
346,True
347,True
348,True
349,True
350,False
351,True
352,True
353,True
354,False
355,False
356,False
357,True
358,False
359,True
360,True
361,True
362,True
363,False
364,False
365,False
366,False
367,False
368,True
369,False
370,True
371,False
372,False
373,True
374,False
375,True
376,False
377,True
378,True
379,False
